text,target,pred
配价,"['NA', 'jià']","['NA', 'jià']"
鉴价,"['NA', 'jià']","['NA', 'jià']"
造价,"['NA', 'jià']","['NA', 'jià']"
进价,"['NA', 'jià']","['NA', 'jià']"
运价,"['NA', 'jià']","['NA', 'jià']"
身价,"['NA', 'jià']","['NA', 'jià']"
跳价,"['NA', 'jià']","['NA', 'jià']"
跌价,"['NA', 'jià']","['NA', 'jià']"
起价,"['NA', 'jià']","['NA', 'jià']"
谎价,"['NA', 'jià']","['NA', 'jià']"
谈价,"['NA', 'jià']","['NA', 'jià']"
询价,"['NA', 'jià']","['NA', 'jià']"
评价,"['NA', 'jià']","['NA', 'jià']"
讲价,"['NA', 'jià']","['NA', 'jià']"
议价,"['NA', 'jià']","['NA', 'jià']"
计价,"['NA', 'jià']","['NA', 'jià']"
股价,"['NA', 'jià']","['NA', 'jià']"
索价,"['NA', 'jià']","['NA', 'jià']"
等价,"['NA', 'jià']","['NA', 'jià']"
竞价,"['NA', 'jià']","['NA', 'jià']"
令亲,"['lìng', 'qīn']","['lìng', 'qīn']"
亲属,"['qīn', 'shǔ']","['qīn', 'shǔ']"
亲切,"['qīn', 'qiè']","['qīn', 'qiè']"
亲亲,"['qīn', 'qīn']","['qīn', 'qīn']"
远亲,"['NA', 'qīn']","['NA', 'qīn']"
近亲,"['NA', 'qīn']","['NA', 'qīn']"
迎亲,"['NA', 'qīn']","['NA', 'qīn']"
躬亲,"['NA', 'qīn']","['NA', 'qīn']"
许亲,"['NA', 'qīn']","['NA', 'qīn']"
认亲,"['NA', 'qīn']","['NA', 'qīn']"
表亲,"['NA', 'qīn']","['NA', 'qīn']"
茂亲,"['NA', 'qīn']","['NA', 'qīn']"
至亲,"['NA', 'qīn']","['NA', 'qīn']"
继亲,"['NA', 'qīn']","['NA', 'qīn']"
睦亲,"['NA', 'qīn']","['NA', 'qīn']"
母亲,"['NA', 'qīn']","['NA', 'qīn']"
八角,"['bā', 'jiǎo']","['bā', 'jiǎo']"
八度,"['bā', 'dù']","['bā', 'dù']"
八宿,"['bā', 'sù']","['bā', 'sù']"
无处,"['wú', 'chù']","['wú', 'chù']"
别无,"['bié', 'wú']","['bié', 'wú']"
得胜,"['dé', 'shèng']","['dé', 'shèng']"
只得,"['zhǐ', 'dé']","['zhǐ', 'dé']"
路得,"['NA', 'dé']","['NA', 'dé']"
<unk>得,"['NA', 'dé']","['NA', 'dé']"
家中,"['jiā', 'zhōng']","['jiā', 'zhōng']"
台中,"['tái', 'zhōng']","['tái', 'zhōng']"
便中,"['biàn', 'zhōng']","['biàn', 'zhōng']"
从中,"['cóng', 'zhōng']","['cóng', 'zhōng']"
中间,"['zhōng', 'jiān']","['zhōng', 'jiān']"
中都,"['zhōng', 'dū']","['zhōng', 'dū']"
中轴,"['zhōng', 'zhóu']","['zhōng', 'zhóu']"
中转,"['zhōng', 'zhuǎn']","['zhōng', 'zhuǎn']"
中脊,"['zhōng', 'jǐ']","['zhōng', 'jǐ']"
中空,"['zhōng', 'kōng']","['zhōng', 'kōng']"
中看,"['zhōng', 'kàn']","['zhōng', 'kàn']"
中正,"['zhōng', 'zhèng']","['zhōng', 'zhèng']"
中校,"['zhōng', 'xiào']","['zhōng', 'xiào']"
中期,"['zhōng', 'qī']","['zhōng', 'qī']"
中朝,"['zhōng', 'cháo']","['zhōng', 'cháo']"
