text,target,pred
大过,"['dà', 'guò']","['dà', 'guò']"
大要,"['dà', 'yào']","['dà', 'yào']"
大脚,"['dà', 'jiǎo']","['dà', 'jiǎo']"
大约,"['dà', 'yuē']","['dà', 'yuē']"
大片,"['dà', 'piàn']","['dà', 'piàn']"
大校,"['dà', 'xiào']","['dà', 'xiào']"
大有,"['dà', 'yǒu']","['dà', 'yǒu']"
大度,"['dà', 'dù']","['dà', 'dù']"
大尉,"['dà', 'wèi']","['dà', 'wèi']"
大家,"['dà', 'jiā']","['dà', 'jiā']"
大大,"['dà', 'dà']","['dà', 'dà']"
大地,"['dà', 'dì']","['dà', 'dì']"
大员,"['dà', 'yuán']","['dà', 'yuán']"
大厂,"['dà', 'chǎng']","['dà', 'chǎng']"
大卡,"['dà', 'kǎ']","['dà', 'kǎ']"
大为,"['dà', 'wéi']","['dà', 'wéi']"
台大,"['tái', 'dà']","['tái', 'dà']"
南大,"['nán', 'dà']","['nán', 'dà']"
高大,"['NA', 'dà']","['NA', 'dà']"
马大,"['NA', 'dà']","['NA', 'dà']"
露馅,"['lòu', 'NA']","['lòu', 'NA']"
鱼露,"['NA', 'lù']","['NA', 'lù']"
已经,"['yǐ', 'jīng']","['yǐ', 'jīng']"
而已,"['NA', 'yǐ']","['NA', 'yǐ']"
吭气,"['kēng', 'NA']","['kēng', 'NA']"
面熟,"['NA', 'shú']","['NA', 'shú']"
耳熟,"['NA', 'shú']","['NA', 'shú']"
纯熟,"['NA', 'shú']","['NA', 'shú']"
秋熟,"['NA', 'shú']","['NA', 'shú']"
眼熟,"['NA', 'shú']","['NA', 'shú']"
熟铁,"['shú', 'NA']","['shú', 'NA']"
熟道,"['shú', 'NA']","['shú', 'NA']"
和解,"['hé', 'jiě']","['hé', 'jiě']"
和约,"['hé', 'yuē']","['hé', 'yuē']"
和服,"['hé', 'fú']","['hé', 'fú']"
和好,"['hé', 'hǎo']","['hé', 'hǎo']"
和乐,"['hé', 'lè']","['hé', 'lè']"
南和,"['nán', 'hé']","['nán', 'hé']"
饱和,"['NA', 'hé']","['NA', 'hé']"
顺和,"['NA', 'hé']","['NA', 'hé']"
零和,"['NA', 'hé']","['NA', 'hé']"
雍和,"['NA', 'hé']","['NA', 'hé']"
随和,"['NA', 'hé']","['NA', 'hé']"
郑和,"['NA', 'hé']","['NA', 'hé']"
逼和,"['NA', 'hé']","['NA', 'hé']"
违和,"['NA', 'hé']","['NA', 'hé']"
谦和,"['NA', 'hé']","['NA', 'hé']"
谐和,"['NA', 'hé']","['NA', 'hé']"
详和,"['NA', 'hé']","['NA', 'hé']"
