text,target,pred
打趣,"['dǎ', 'qù']","['dǎ', 'qù']"
打谷,"['dǎ', 'gǔ']","['dǎ', 'gǔ']"
打蜡,"['dǎ', 'là']","['dǎ', 'là']"
打结,"['dǎ', 'jié']","['dǎ', 'jié']"
打磨,"['dǎ', 'mó']","['dǎ', 'mó']"
打<unk>,"['dǎ', '<unk>']","['dǎ', 'NA']"
打炮,"['dǎ', 'pào']","['dǎ', 'pào']"
打混,"['dǎ', 'hùn']","['dǎ', 'hùn']"
打更,"['dǎ', 'gēng']","['dǎ', 'gēng']"
打旋,"['dǎ', 'xuán']","['dǎ', 'xuán']"
打散,"['dǎ', 'sàn']","['dǎ', 'sàn']"
打折,"['dǎ', 'zhé']","['dǎ', 'zhé']"
打扫,"['dǎ', 'sǎo']","['dǎ', 'sǎo']"
行车,"['xíng', 'chē']","['xíng', 'chē']"
行脚,"['xíng', 'jiǎo']","['xíng', 'jiǎo']"
行经,"['xíng', 'jīng']","['xíng', 'jīng']"
行省,"['xíng', 'shěng']","['xíng', 'shěng']"
行好,"['xíng', 'hǎo']","['xíng', 'hǎo']"
行囊,"['xíng', 'náng']","['xíng', 'náng']"
行刺,"['xíng', 'cì']","['xíng', 'cì']"
行令,"['xíng', 'lìng']","['xíng', 'lìng']"
行为,"['xíng', 'wéi']","['xíng', 'wéi']"
绕行,"['rào', 'xíng']","['rào', 'xíng']"
落莫,"['luò', 'mò']","['luò', 'mò']"
态度,"['NA', '<unk>']","['NA', 'dù']"
长度,"['cháng', 'dù']","['cháng', 'dù']"
适度,"['shì', 'dù']","['shì', 'dù']"
角度,"['jiǎo', 'dù']","['jiǎo', 'dù']"
色度,"['sè', 'dù']","['sè', 'dù']"
经度,"['jīng', 'dù']","['jīng', 'dù']"
纤度,"['xiān', 'dù']","['xiān', 'dù']"
粘度,"['nián', 'dù']","['nián', 'dù']"
盖度,"['gài', 'dù']","['gài', 'dù']"
无度,"['wú', 'dù']","['wú', 'dù']"
强度,"['qiáng', 'dù']","['qiáng', 'dù']"
度量,"['dù', 'liàng']","['dù', 'liàng']"
度过,"['dù', 'guò']","['dù', 'guò']"
度假,"['dù', 'jià']","['dù', 'jià']"
广度,"['guǎng', 'dù']","['guǎng', 'dù']"
并重,"['bìng', 'zhòng']","['bìng', 'zhòng']"
并行,"['bìng', 'xíng']","['bìng', 'xíng']"
并称,"['bìng', 'chēng']","['bìng', 'chēng']"
长期,"['cháng', 'qī']","['cháng', 'qī']"
行期,"['xíng', 'qī']","['xíng', 'qī']"
节期,"['jié', 'qī']","['jié', 'qī']"
经期,"['jīng', 'qī']","['jīng', 'qī']"
末期,"['mò', 'qī']","['mò', 'qī']"
期间,"['qī', 'jiān']","['qī', 'jiān']"
期末,"['qī', 'mò']","['qī', 'mò']"
期待,"['qī', 'dài']","['qī', 'dài']"
无期,"['wú', 'qī']","['wú', 'qī']"
尾期,"['wěi', 'qī']","['wěi', 'qī']"
载重,"['zài', 'zhòng']","['zài', 'zhòng']"
连载,"['NA', 'zǎi']","['NA', 'zǎi']"
骨干,"['gǔ', 'gàn']","['gǔ', 'gàn']"
强干,"['qiáng', 'gàn']","['qiáng', 'gàn']"
无干,"['wú', 'gān']","['wú', 'gān']"
干馏,"['gān', 'liú']","['gān', 'liú']"
干衣,"['gān', 'yī']","['gān', 'yī']"
干系,"['gān', 'xì']","['gān', 'xì']"
干瘪,"['gān', 'biě']","['gān', 'biě']"
干洗,"['gān', 'xǐ']","['gān', 'xǐ']"
陆地,"['lù', 'dì']","['lù', 'dì']"
边地,"['biān', 'dì']","['biān', 'dì']"
谷地,"['gǔ', 'dì']","['gǔ', 'dì']"
落地,"['luò', 'dì']","['luò', 'dì']"
胜地,"['shèng', 'dì']","['shèng', 'dì']"
背地,"['bèi', 'dì']","['bèi', 'dì']"
绿地,"['lǜ', 'dì']","['lǜ', 'dì']"
绕地,"['rào', 'dì']","['rào', 'dì']"
空地,"['kōng', 'dì']","['kōng', 'dì']"
通过,"['tōng', 'guò']","['tōng', 'guò']"
过量,"['guò', 'liàng']","['guò', 'liàng']"
过重,"['guò', 'zhòng']","['guò', 'zhòng']"
过载,"['guò', 'zài']","['guò', 'zài']"
过节,"['guò', 'jié']","['guò', 'jié']"
过期,"['guò', 'qī']","['guò', 'qī']"
过度,"['guò', 'dù']","['guò', 'dù']"
过场,"['guò', 'chǎng']","['guò', 'chǎng']"
阿斗,"['ā', 'dǒu']","['ā', 'dǒu']"
车斗,"['chē', 'dǒu']","['chē', 'dǒu']"
熨斗,"['yùn', 'dǒu']","['yùn', 'dǒu']"
烟斗,"['yān', 'dǒu']","['yān', 'dǒu']"
蒙难,"['méng', 'nàn']","['méng', 'nàn']"
落难,"['luò', 'nàn']","['luò', 'nàn']"
空难,"['kōng', 'nàn']","['kōng', 'nàn']"
难过,"['nán', 'guò']","['nán', 'guò']"
难解,"['nán', 'jiě']","['nán', 'jiě']"
难行,"['nán', 'xíng']","['nán', 'xíng']"
难看,"['nán', 'kàn']","['nán', 'kàn']"
难混,"['nán', 'hùn']","['nán', 'hùn']"
难忘,"['nán', 'wàng']","['nán', 'wàng']"
难度,"['nán', 'dù']","['nán', 'dù']"
齐家,"['qí', 'jiā']","['qí', 'jiā']"
王家,"['wáng', 'jiā']","['wáng', 'jiā']"
挨家,"['āi', 'jiā']","['āi', 'jiā']"
挨家,"['āi', 'jiā']","['āi', 'jiā']"
当家,"['dāng', 'jiā']","['dāng', 'jiā']"
家长,"['jiā', 'zhǎng']","['jiā', 'zhǎng']"
家里,"['jiā', 'lǐ']","['jiā', 'lǐ']"
家语,"['jiā', 'yǔ']","['jiā', 'yǔ']"
家的,"['jiā', 'de']","['jiā', 'de']"
家畜,"['jiā', 'chù']","['jiā', 'chù']"
家父,"['jiā', 'fù']","['jiā', 'fù']"
家燕,"['jiā', 'yàn']","['jiā', 'yàn']"
家暴,"['jiā', 'bào']","['jiā', 'bào']"
家教,"['jiā', 'jiào']","['jiā', 'jiào']"
要说,"['yào', 'shuō']","['yào', 'shuō']"
要角,"['yào', 'jiǎo']","['yào', 'jiǎo']"
要看,"['yào', 'kàn']","['yào', 'kàn']"
要有,"['yào', 'yǒu']","['yào', 'yǒu']"
要强,"['yào', 'qiáng']","['yào', 'qiáng']"
要好,"['yào', 'hǎo']","['yào', 'hǎo']"
要地,"['yào', 'dì']","['yào', 'dì']"
要员,"['yào', 'yuán']","['yào', 'yuán']"
要冲,"['yào', 'chōng']","['yào', 'chōng']"
要么,"['yào', 'me']","['yào', 'me']"
识趣,"['shí', 'qù']","['shí', 'qù']"
识相,"['shí', 'xiàng']","['shí', 'xiàng']"
识度,"['shí', 'dù']","['shí', 'dù']"
重提,"['chóng', 'tí']","['chóng', 'tí']"
提调,"['tí', 'diào']","['tí', 'diào']"
提要,"['tí', 'yào']","['tí', 'yào']"
提干,"['tí', 'gàn']","['tí', 'gàn']"
提单,"['tí', 'dān']","['tí', 'dān']"
邮差,"['NA', 'chāi']","['NA', 'chāi']"
差数,"['chā', 'shù']","['chā', 'shù']"
差别,"['chā', 'bié']","['chā', 'bié']"
待见,"['dài', '<unk>']","['dài', 'jiàn']"
识见,"['shí', 'jiàn']","['shí', 'jiàn']"
见长,"['jiàn', 'cháng']","['jiàn', 'cháng']"
见说,"['jiàn', 'shuō']","['jiàn', 'shuō']"
见解,"['jiàn', 'jiě']","['jiàn', 'jiě']"
见教,"['jiàn', 'jiào']","['jiàn', 'jiào']"
见地,"['jiàn', 'dì']","['jiàn', 'dì']"
约见,"['yuē', 'jiàn']","['yuē', 'jiàn']"
遗妻,"['yí', 'qī']","['yí', 'qī']"
通往,"['tōng', 'wǎng']","['tōng', 'wǎng']"
过往,"['guò', 'wǎng']","['guò', 'wǎng']"
转往,"['zhuǎn', 'wǎng']","['zhuǎn', 'wǎng']"
派往,"['pài', 'wǎng']","['pài', 'wǎng']"
往还,"['wǎng', 'huán']","['wǎng', 'huán']"
往往,"['wǎng', 'wǎng']","['wǎng', 'wǎng']"
已往,"['yǐ', 'wǎng']","['yǐ', 'wǎng']"
龟头,"['guī', 'tóu']","['guī', 'tóu']"
齐头,"['qí', 'tóu']","['qí', 'tóu']"
过头,"['guò', 'tóu']","['guò', 'tóu']"
边头,"['biān', 'tóu']","['biān', 'tóu']"
转头,"['zhuǎn', 'tóu']","['zhuǎn', 'tóu']"
读头,"['dú', 'tóu']","['dú', 'tóu']"
角头,"['jiǎo', 'tóu']","['jiǎo', 'tóu']"
蛇头,"['shé', 'tóu']","['shé', 'tóu']"
空头,"['kōng', 'tóu']","['kōng', 'tóu']"
盖头,"['gài', 'tóu']","['gài', 'tóu']"
片头,"['piàn', 'tóu']","['piàn', 'tóu']"
烟头,"['yān', 'tóu']","['yān', 'tóu']"
派头,"['pài', 'tóu']","['pài', 'tóu']"
洗头,"['xǐ', 'tóu']","['xǐ', 'tóu']"
杠头,"['gàng', 'tóu']","['gàng', 'tóu']"
教头,"['jiào', 'tóu']","['jiào', 'tóu']"
把头,"['bǎ', 'tóu']","['bǎ', 'tóu']"
弹头,"['dàn', 'tóu']","['dàn', 'tóu']"
莫大,"['mò', 'dà']","['mò', 'dà']"
强大,"['qiáng', 'dà']","['qiáng', 'dà']"
广大,"['guǎng', 'dà']","['guǎng', 'dà']"
头大,"['tóu', 'dà']","['tóu', 'dà']"
大雨,"['dà', 'yǔ']","['dà', 'yǔ']"
大量,"['dà', 'liàng']","['dà', 'liàng']"
大里,"['dà', 'lǐ']","['dà', 'lǐ']"
大都,"['dà', 'dū']","['dà', 'dū']"
露背,"['lòu', 'bèi']","['lòu', 'bèi']"
露相,"['lòu', 'xiàng']","['lòu', 'xiàng']"
露底,"['lòu', 'dǐ']","['lòu', 'dǐ']"
露头,"['lòu', 'tóu']","['lòu', 'tóu']"
浅露,"['qiǎn', 'lù']","['qiǎn', 'lù']"
吭吭,"['kēng', 'kēng']","['kēng', 'kēng']"
觑糊,"['qù', 'hu']","['qù', 'hu']"
熟食,"['shú', 'shí']","['shú', 'shí']"
熟读,"['shú', 'dú']","['shú', 'dú']"
熟语,"['shú', 'yǔ']","['shú', 'yǔ']"
熟络,"['shú', 'luò']","['shú', 'luò']"
熟思,"['shú', 'sī']","['shú', 'sī']"
熟地,"['shú', 'dì']","['shú', 'dì']"
熟化,"['shú', 'huà']","['shú', 'huà']"
调和,"['tiáo', 'hé']","['tiáo', 'hé']"
解和,"['jiě', 'hé']","['jiě', 'hé']"
兴和,"['xīng', 'hé']","['xīng', 'hé']"
大和,"['dà', 'hé']","['dà', 'hé']"
和食,"['hé', 'shí']","['hé', 'shí']"
陆上,"['lù', 'shàng']","['lù', 'shàng']"
踏上,"['tà', 'shàng']","['tà', 'shàng']"
说上,"['shuō', 'shàng']","['shuō', 'shàng']"
看上,"['kàn', 'shàng']","['kàn', 'shàng']"
无上,"['wú', 'shàng']","['wú', 'shàng']"
头上,"['tóu', 'shàng']","['tóu', 'shàng']"
同上,"['tóng', 'shàng']","['tóng', 'shàng']"
合上,"['hé', 'shàng']","['hé', 'shàng']"
台上,"['tái', 'shàng']","['tái', 'shàng']"
上颌,"['shàng', 'hé']","['shàng', 'hé']"
上都,"['shàng', 'dū']","['shàng', 'dū']"
上车,"['shàng', 'chē']","['shàng', 'chē']"
上衣,"['shàng', 'yī']","['shàng', 'yī']"
上行,"['shàng', 'xíng']","['shàng', 'xíng']"
上色,"['shàng', 'sè']","['shàng', 'sè']"
上缴,"['shàng', 'jiǎo']","['shàng', 'jiǎo']"
上空,"['shàng', 'kōng']","['shàng', 'kōng']"
上涨,"['shàng', 'zhǎng']","['shàng', 'zhǎng']"
蒙哄,"['méng', 'hǒng']","['méng', 'hǒng']"
鲜红,"['xiān', 'hóng']","['xiān', 'hóng']"
通红,"['tōng', 'hóng']","['tōng', 'hóng']"
见红,"['jiàn', 'hóng']","['jiàn', 'hóng']"
红色,"['hóng', 'sè']","['hóng', 'sè']"
红橙,"['hóng', 'chéng']","['hóng', 'chéng']"
红曲,"['hóng', 'qū']","['hóng', 'qū']"
红晕,"['hóng', 'yùn']","['hóng', 'yùn']"
红岗,"['hóng', 'gǎng']","['hóng', 'gǎng']"
通同,"['tōng', 'tóng']","['tōng', 'tóng']"
约同,"['yuē', 'tóng']","['yuē', 'tóng']"
相同,"['xiāng', 'tóng']","['xiāng', 'tóng']"
混同,"['hùn', 'tóng']","['hùn', 'tóng']"
大同,"['dà', 'tóng']","['dà', 'tóng']"
同量,"['tóng', 'liàng']","['tóng', 'liàng']"
同轴,"['tóng', 'zhóu']","['tóng', 'zhóu']"
同调,"['tóng', 'diào']","['tóng', 'diào']"
同盟,"['tóng', 'méng']","['tóng', 'méng']"
顿号,"['dùn', 'hào']","['dùn', 'hào']"
雅号,"['yǎ', 'hào']","['yǎ', 'hào']"
长号,"['cháng', 'hào']","['cháng', 'hào']"
称号,"['chēng', 'hào']","['chēng', 'hào']"
溜号,"['liū', 'hào']","['liū', 'hào']"
混号,"['hùn', 'hào']","['hùn', 'hào']"
正号,"['zhèng', 'hào']","['zhèng', 'hào']"
撇号,"['piě', 'hào']","['piě', 'hào']"
括号,"['kuò', 'hào']","['kuò', 'hào']"
落叶,"['luò', 'yè']","['luò', 'yè']"
萎叶,"['wěi', 'yè']","['wěi', 'yè']"
艾叶,"['ài', 'yè']","['ài', 'yè']"
绿叶,"['lǜ', 'yè']","['lǜ', 'yè']"
红叶,"['hóng', 'yè']","['hóng', 'yè']"
烟叶,"['yān', 'yè']","['yān', 'yè']"
对句,"['NA', '<unk>']","['NA', 'jù']"
语句,"['yǔ', 'jù']","['yǔ', 'jù']"
句数,"['jù', 'shù']","['jù', 'shù']"
句号,"['jù', 'hào']","['jù', 'hào']"
约分,"['yuē', 'fēn']","['yuē', 'fēn']"
拆分,"['chāi', 'fēn']","['chāi', 'fēn']"
打分,"['dǎ', 'fēn']","['dǎ', 'fēn']"
得分,"['dé', 'fēn']","['dé', 'fēn']"
差分,"['chā', 'fēn']","['chā', 'fēn']"
可分,"['kě', 'fēn']","['kě', 'fēn']"
区分,"['qū', 'fēn']","['qū', 'fēn']"
划分,"['huà', 'fēn']","['huà', 'fēn']"
分馏,"['fēn', 'liú']","['fēn', 'liú']"
分量,"['fēn', 'liàng']","['fēn', 'liàng']"
分说,"['fēn', 'shuō']","['fēn', 'shuō']"
分解,"['fēn', 'jiě']","['fēn', 'jiě']"
适切,"['shì', 'qiè']","['shì', 'qiè']"
迫切,"['pò', 'qiè']","['pò', 'qiè']"
殷切,"['yīn', 'qiè']","['yīn', 'qiè']"
切迫,"['qiè', 'pò']","['qiè', 'pò']"
