text,label
一一对应,"['NA', 'NA', 'NA', 'yìng']"
一丁点,"['NA', 'dīng', 'NA']"
一丘之貉,"['NA', 'NA', 'NA', 'hé']"
一个人,"['NA', 'gè', 'NA']"
一个巴掌拍不响,"['NA', 'ge', 'NA', 'NA', 'NA', 'NA', 'NA']"
一个幽灵在欧洲游荡,"['NA', 'gè', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
一个样,"['NA', 'ge', 'NA']"
一中原则,"['NA', 'zhōng', 'NA', 'NA']"
一举两得,"['NA', 'NA', 'NA', 'dé']"
一之谓甚,"['NA', 'NA', 'NA', 'shèn']"
一事无成,"['NA', 'NA', 'wú', 'NA']"
一二八事变,"['NA', 'NA', 'bā', 'NA', 'NA']"
一亲芳泽,"['NA', 'qīn', 'NA', 'NA']"
一人得道,"['NA', 'NA', 'dé', 'NA']"
一价,"['NA', 'jià']"
一会,"['NA', 'huì']"
一会儿,"['NA', 'huì', 'NA']"
一传十,"['NA', 'chuán', 'NA']"
十传百,"['NA', 'chuán', 'NA']"
一体,"['NA', 'tǐ']"
一体两面,"['NA', 'tǐ', 'NA', 'NA']"
一元论,"['NA', 'NA', 'lùn']"
一堆,"['NA', 'duī']"
一刀切,"['NA', 'NA', 'qiē']"
一分一毫,"['NA', 'fēn', 'NA', 'NA']"
一分耕耘,"['NA', 'fēn', 'NA', 'NA']"
一分收获,"['NA', 'fēn', 'NA', 'NA']"
一切,"['NA', 'qiè']"
一切事物,"['NA', 'qiè', 'NA', 'NA']"
一切如旧,"['NA', 'qiè', 'NA', 'NA']"
一切就绪,"['NA', 'qiè', 'NA', 'NA']"
一切险,"['NA', 'qiè', 'NA']"
一匙,"['NA', 'chí']"
一去无影踪,"['NA', 'NA', 'wú', 'NA', 'NA']"
一口吃不成胖子,"['NA', 'NA', 'NA', 'NA', 'NA', 'pàng', 'NA']"
一句,"['NA', 'jù']"
一句话,"['NA', 'jù', 'NA']"
一叶知秋,"['NA', 'yè', 'NA', 'NA']"
一叶障目,"['NA', 'yè', 'NA', 'NA']"
一号,"['NA', 'hào']"
一号电池,"['NA', 'hào', 'NA', 'NA']"
一同,"['NA', 'tóng']"
一呼百应,"['NA', 'NA', 'NA', 'yìng']"
一品红,"['NA', 'NA', 'hóng']"
一哄而起,"['NA', 'hōng', 'NA', 'NA']"
一哭二闹三上吊,"['NA', 'NA', 'NA', 'NA', 'NA', 'shàng', 'NA']"
一唱一和,"['NA', 'NA', 'NA', 'hè']"
二回熟,"['NA', 'NA', 'shú']"
一团和气,"['NA', 'NA', 'hé', 'NA']"
一塌糊涂,"['NA', 'NA', 'hú', 'NA']"
一声不吭,"['NA', 'NA', 'NA', 'kēng']"
一夔已足,"['NA', 'NA', 'yǐ', 'NA']"
一多对应,"['NA', 'NA', 'NA', 'yìng']"
一夜爆红,"['NA', 'NA', 'NA', 'hóng']"
一夜露水,"['NA', 'NA', 'lù', 'NA']"
一大早,"['NA', 'dà', 'NA']"
一大早儿,"['NA', 'dà', 'NA', 'NA']"
一天一个样,"['NA', 'NA', 'NA', 'ge', 'NA']"
一头,"['NA', 'tóu']"
一头栽进,"['NA', 'tóu', 'NA', 'NA']"
一头雾水,"['NA', 'tóu', 'NA', 'NA']"
一如既往,"['NA', 'NA', 'NA', 'wǎng']"
一妻制,"['NA', 'qī', 'NA']"
一孔之见,"['NA', 'NA', 'NA', 'jiàn']"
一字不差,"['NA', 'NA', 'NA', 'chā']"
一字不提,"['NA', 'NA', 'NA', 'tí']"
一字不识,"['NA', 'NA', 'NA', 'shí']"
一定要,"['NA', 'NA', 'yào']"
一家,"['NA', 'jiā']"
一家之主,"['NA', 'jiā', 'NA', 'NA']"
一家人,"['NA', 'jiā', 'NA']"
一家子,"['NA', 'jiā', 'NA']"
寸金难买寸光阴,"['NA', 'NA', 'nán', 'NA', 'NA', 'NA', 'NA']"
一对一斗牛,"['NA', 'NA', 'NA', 'dòu', 'NA']"
一小撮,"['NA', 'NA', 'cuō']"
一小部分,"['NA', 'NA', 'NA', 'fèn']"
一带而过,"['NA', 'NA', 'NA', 'guò']"
一席之地,"['NA', 'NA', 'NA', 'dì']"
一干二净,"['NA', 'gān', 'NA', 'NA']"
一年到头,"['NA', 'NA', 'NA', 'tóu']"
一年半载,"['NA', 'NA', 'NA', 'zǎi']"
一年期,"['NA', 'NA', 'qī']"
一年被蛇咬十年怕井绳,"['NA', 'NA', 'NA', 'shé', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
一并,"['NA', 'bìng']"
一应,"['NA', 'yīng']"
一度,"['NA', 'dù']"
一往情深,"['NA', 'wǎng', 'NA', 'NA']"
一往直前,"['NA', 'wǎng', 'NA', 'NA']"
一念之差,"['NA', 'NA', 'NA', 'chā']"
一愁莫展,"['NA', 'NA', 'mò', 'NA']"
一意孤行,"['NA', 'NA', 'NA', 'xíng']"
一打,"['NA', 'dá']"
一扫而光,"['NA', 'sǎo', 'NA', 'NA']"
一技之长,"['NA', 'NA', 'NA', 'cháng']"
一把手,"['NA', 'bǎ', 'NA']"
一把抓,"['NA', 'bǎ', 'NA']"
一把死拿,"['NA', 'bǎ', 'NA', 'NA']"
一折两段,"['NA', 'zhé', 'NA', 'NA']"
一拍两散,"['NA', 'NA', 'NA', 'sàn']"
一拍即合,"['NA', 'NA', 'NA', 'hé']"
一拥而上,"['NA', 'NA', 'NA', 'shàng']"
一排,"['NA', 'pái']"
一掬同情之泪,"['NA', 'NA', 'tóng', 'NA', 'NA', 'NA']"
一掷千金,"['NA', 'zhì', 'NA', 'NA']"
一日不见,"['NA', 'NA', 'NA', 'jiàn']"
一日为师,"['NA', 'NA', 'wéi', 'NA']"
一日之雅,"['NA', 'NA', 'NA', 'yǎ']"
一日千里,"['NA', 'NA', 'NA', 'lǐ']"
一时半会,"['NA', 'NA', 'NA', 'huì']"
一时半会儿,"['NA', 'NA', 'NA', 'huì', 'NA']"
一时间,"['NA', 'NA', 'jiān']"
一无所动,"['NA', 'wú', 'NA', 'NA']"
一无所知,"['NA', 'wú', 'NA', 'NA']"
一无所获,"['NA', 'wú', 'NA', 'NA']"
一无所闻,"['NA', 'wú', 'NA', 'NA']"
一晃,"['NA', 'huǎng']"
一暴十寒,"['NA', 'pù', 'NA', 'NA']"
一更,"['NA', 'gēng']"
一望无垠,"['NA', 'NA', 'wú', 'NA']"
一望无际,"['NA', 'NA', 'wú', 'NA']"
一朝一夕,"['NA', 'zhāo', 'NA', 'NA']"
一木难支,"['NA', 'NA', 'nán', 'NA']"
一本万利,"['NA', 'NA', 'wàn', 'NA']"
一杆进洞,"['NA', 'gān', 'NA', 'NA']"
一条龙服务,"['NA', 'NA', 'NA', 'fú', 'NA']"
一概而论,"['NA', 'NA', 'NA', 'lùn']"
一模一样,"['NA', 'mú', 'NA', 'NA']"
一次函数,"['NA', 'NA', 'NA', 'shù']"
两次熟,"['NA', 'NA', 'shú']"
一气呵成,"['NA', 'NA', 'hē', 'NA']"
一氧化二氮,"['NA', 'NA', 'huà', 'NA', 'NA']"
一氧化氮,"['NA', 'NA', 'huà', 'NA']"
一氧化碳,"['NA', 'NA', 'huà', 'NA']"
一波三折,"['NA', 'NA', 'NA', 'zhé']"
一派胡言,"['NA', 'pài', 'NA', 'NA']"
一派谎言,"['NA', 'pài', 'NA', 'NA']"
一点就通,"['NA', 'NA', 'NA', 'tōng']"
一片,"['NA', 'piàn']"
一物降一物,"['NA', 'NA', 'xiáng', 'NA', 'NA']"
一目了然,"['NA', 'NA', 'liǎo', 'NA']"
一目十行,"['NA', 'NA', 'NA', 'háng']"
一直往前,"['NA', 'NA', 'wǎng', 'NA']"
一相情愿,"['NA', 'xiāng', 'NA', 'NA']"
一眼看穿,"['NA', 'NA', 'kàn', 'NA']"
一着不慎,"['NA', 'zhāo', 'NA', 'NA']"
一瞬间,"['NA', 'NA', 'jiān']"
一知半解,"['NA', 'NA', 'NA', 'jiě']"
一神教,"['NA', 'NA', 'jiào']"
一神论,"['NA', 'NA', 'lùn']"
一种,"['NA', 'zhǒng']"
一秘,"['NA', 'mì']"
一空,"['NA', 'kōng']"
一窍不通,"['NA', 'NA', 'NA', 'tōng']"
一笑了之,"['NA', 'NA', 'liǎo', 'NA']"
一笔勾销,"['NA', 'NA', 'gōu', 'NA']"
一笔抹杀,"['NA', 'NA', 'mǒ', 'NA']"
一筹莫展,"['NA', 'NA', 'mò', 'NA']"
一箭之仇,"['NA', 'NA', 'NA', 'chóu']"
一系列,"['NA', 'xì', 'NA']"
一级头,"['NA', 'NA', 'tóu']"
一纸空文,"['NA', 'NA', 'kōng', 'NA']"
一线之间,"['NA', 'NA', 'NA', 'jiān']"
一肚子,"['NA', 'dù', 'NA']"
一肚皮,"['NA', 'dù', 'NA']"
一胎化,"['NA', 'NA', 'huà']"
一臂之力,"['NA', 'bì', 'NA', 'NA']"
