U+3576: ň,ňg  # 㕶

U+3CC2: yán,yàn  # 㳂

U+41F2: cè,jiā  # 䇲

U+4275: zhuàn,zuǎn  # 䉵

U+4337: chōu,chóu  # 䌷

U+458F: chǔ,chù  # 䖏

U+462E: sāng,sàng  # 䘮

U+4A44: miǎn,tiǎn  # 䩄

U+4D97: kè,qiā  # 䶗

U+4E01: dīng,zhēng  # 丁

U+4E03: qī,qí  # 七

U+4E07: mò,wàn  # 万

U+4E0A: shǎng,shàng  # 上

U+4E0E: yú,yǔ,yù  # 与

U+4E14: jū,qiě  # 且

U+4E27: sāng,sàng  # 丧

U+4E2A: gè,gě  # 个

U+4E2D: zhōng,zhòng  # 中

U+4E3A: wéi,wèi  # 为

U+4E3D: lí,lì  # 丽

U+4E48: ma,me,yāo  # 么

U+4E4C: wū,wù  # 乌

U+4E50: lè,yuè  # 乐

U+4E58: chéng,shèng  # 乘

U+4E5C: miē,niè  # 乜

U+4E7E: gān,qián  # 乾

U+4E86: le,liǎo,liào  # 了

U+4E88: yú,yǔ  # 予

U+4E9F: jí,qì  # 亟

U+4EB2: qīn,qìng  # 亲

U+4EB6: dǎn,dàn  # 亶

U+4EB9: mén,wěi  # 亹

U+4EC0: shén,shí  # 什

U+4EC5: jǐn,jìn  # 仅

U+4EC6: pū,pú  # 仆

U+4EC7: chóu,qiú  # 仇

U+4ECE: cōng,cóng  # 从

U+4ED4: zǎi,zī,zǐ  # 仔

U+4EE1: gē,yì  # 仡

U+4EE4: líng,lǐng,lìng  # 令

U+4EF7: jià,jiè,jie  # 价

U+4EFB: rén,rèn  # 任

U+4F1A: huì,kuài  # 会

U+4F20: chuán,zhuàn  # 传

U+4F27: cāng,chen  # 伧

U+4F2F: bǎi,bó  # 伯

U+4F30: gū,gù  # 估

U+4F3A: cì,sì  # 伺

U+4F3C: shì,sì  # 似

U+4F3D: gā,jiā,qié  # 伽

U+4F43: diàn,tián  # 佃

U+4F53: tī,tǐ  # 体

U+4F5B: fó,fú  # 佛

U+4F5C: zuō,zuó,zuò  # 作

U+4F63: yōng,yòng  # 佣

U+4F74: èr,nài  # 佴

U+4F97: dòng,tóng,tǒng  # 侗

U+4F9B: gōng,gòng  # 供

U+4FA5: jiǎo,yáo  # 侥

U+4FA7: cè,zè,zhāi  # 侧

U+4FAF: hóu,hòu  # 侯

U+4FBB: tuì,tuō  # 侻

U+4FBF: biàn,pián  # 便

U+4FDB: fǔ,miǎn  # 俛

U+4FDE: shù,yú  # 俞

U+4FDF: qí,sì  # 俟

U+4FE9: liǎ,liǎng  # 俩

U+4FF1: jū,jù  # 俱

U+4FF6: chù,tì  # 俶

U+5006: liǎ,liǎng  # 倆

U+500B: gě,gè  # 個

U+5012: dǎo,dào  # 倒

U+5014: jué,juè  # 倔

U+5018: cháng,tǎng  # 倘

U+501E: jìng,liàng  # 倞

U+5025: kōng,kǒng  # 倥

U+5047: jiǎ,jià  # 假

U+5048: jì,jié  # 偈

U+5062: chǒu,qiào  # 偢

U+5072: cāi,sī  # 偲

U+507A: zá,zán,zan  # 偺

U+507B: lóu,lǚ  # 偻

U+5080: guī,kuǐ  # 傀

U+5096: cāng,chen  # 傖

U+50B3: chuán,zhuàn  # 傳

U+50C2: lóu,lǚ  # 僂

U+50C5: jǐn,jìn  # 僅

U+50E5: jiǎo,yáo  # 僥

U+50EE: tóng,zhuàng  # 僮

U+50F9: jià,jie  # 價

U+5140: wū,wù  # 兀

U+5152: ér,ní  # 兒

U+516B: bā,bá  # 八

U+516D: liù,lù  # 六

U+5174: xīng,xìng  # 兴

U+5176: jī,qí  # 其

U+5179: cí,zī  # 兹

U+5192: mào,mò  # 冒

U+5199: xiě,xiè  # 写

U+51A0: guān,guàn  # 冠

U+51AF: féng,píng  # 冯

U+51B2: chōng,chòng  # 冲

U+51C9: liáng,liàng  # 凉

U+51E0: jī,jǐ  # 几

U+51E6: chǔ,chù  # 処

U+51F9: āo,wā  # 凹

U+51FF: záo,zuò  # 凿

U+5206: fēn,fèn  # 分

U+5207: qiē,qiè  # 切

U+5212: huá,huà,huai  # 划

U+521B: chuāng,chuàng  # 创

U+5228: bào,páo  # 刨

U+522B: bié,biè  # 别

U+522C: chǎn,chàn  # 刬

U+5237: shuā,shuà  # 刷

U+5238: quàn,xuàn  # 券

U+5239: chà,shā  # 刹

U+523A: cī,cì  # 刺

U+524A: xiāo,xuē  # 削

U+524B: kè,kēi  # 剋

U+524C: lá,là  # 剌

U+5257: chǎn,chàn  # 剗

U+5261: shàn,yǎn  # 剡

U+5265: bāo,bō  # 剥

U+5275: chuāng,chuàng  # 創

U+527F: chāo,jiǎo  # 剿

U+5283: huá,huà,huai  # 劃

U+5284: zhā,zhá  # 劄

U+5288: pī,pǐ  # 劈

U+52B2: jìn,jìng  # 劲

U+52C1: jìn,jìng  # 勁

U+52D2: lè,lēi  # 勒

U+52E6: chāo,jiǎo  # 勦

U+52FE: gōu,gòu  # 勾

U+5316: huā,huà  # 化

U+5319: chí,shi  # 匙

U+533A: ōu,qū  # 区

U+5340: ōu,qū  # 區

U+534E: huá,huà  # 华

U+5352: cù,zú  # 卒

U+5355: chán,dān,shàn  # 单

U+5357: nā,nán  # 南

U+535C: bo,bǔ  # 卜

U+5360: zhān,zhàn  # 占

U+5361: kǎ,qiǎ  # 卡

U+5377: juǎn,juàn  # 卷

U+5382: ān,chǎng  # 厂

U+538B: yā,yà  # 压

U+5395: cè,si  # 厕

U+53A6: shà,xià  # 厦

U+53C2: cān,cēn,shēn  # 参

U+53C3: cān,cēn,shēn  # 參

U+53C9: chā,chá,chǎ,chà  # 叉

U+53D1: fā,fà  # 发

U+53E5: gōu,gòu,jù  # 句

U+53E8: dāo,dáo,tāo  # 叨

U+53EA: zhī,zhǐ  # 只

U+53EC: shào,zhào  # 召

U+53EF: kě,kè  # 可

U+53F0: tāi,tái  # 台

U+53F6: xié,yè  # 叶

U+53F7: háo,hào  # 号

U+5401: xū,yū,yù  # 吁

U+5404: gě,gè  # 各

U+5408: gě,hé  # 合

U+540B: cùn,yīng  # 吋

U+540C: tóng,tòng  # 同

U+5410: tǔ,tù  # 吐

U+5412: zhā,zhà  # 吒

U+5413: hè,xià  # 吓

U+5417: má,mǎ,ma  # 吗

U+5421: bǐ,pǐ  # 吡

U+5426: fǒu,pǐ  # 否

U+5427: bā,ba  # 吧

U+542D: háng,kēng  # 吭

U+5431: zhī,zī  # 吱

U+5435: chāo,chǎo  # 吵

U+5440: yā,ya  # 呀

U+5443: è,e  # 呃

U+5446: ái,dāi  # 呆

U+544E: chǐ,yīng  # 呎

U+5450: nà,na,nè,ne  # 呐

U+5454: dāi,tǎi  # 呔

U+5455: ǒu,òu  # 呕

U+5457: bài,bei  # 呗

U+5458: yuán,yún,yùn  # 员

U+545B: qiāng,qiàng  # 呛

U+5462: ne,ní  # 呢

U+5463: ḿ,m̀  # 呣

U+5471: gū,guā,guǎ  # 呱

U+5472: cī,zī  # 呲

U+5475: ā,á,à,a,hē,kē  # 呵

U+5476: náo,nǔ  # 呶

U+5477: gā,xiā  # 呷

U+5480: jǔ,zuǐ  # 咀

U+548B: zǎ,zé,zhā  # 咋

U+548C: hé,hè,hú,huó,huò  # 和

U+5494: kā,kǎ  # 咔

U+5496: gā,kā  # 咖

U+54A7: liē,liě,lie  # 咧

U+54AF: gē,kǎ,lo,luò  # 咯

U+54B1: zá,zán,zan  # 咱

U+54B3: hāi,ké  # 咳

U+54BD: yān,yàn,yè  # 咽

U+54C4: hōng,hǒng,hòng  # 哄

U+54C7: wā,wa  # 哇

U+54C8: hā,hǎ,hà  # 哈

U+54D1: yā,yǎ  # 哑

U+54D5: huì,yuě  # 哕

U+54D7: huā,huá  # 哗

U+54DF: yō,yo  # 哟

U+54E6: é,ó,ò  # 哦

U+54E9: lī,lǐ,li,yīng  # 哩

U+54EA: nǎ,na,nǎi,né,něi  # 哪

U+54FC: hēng,hng  # 哼

U+5509: āi,ài  # 唉

U+5514: ń,ńg,wú  # 唔

U+551D: gòng,hǒng  # 唝

U+5520: láo,lào  # 唠

U+5521: liǎng,yīng  # 唡

U+552B: jìn,yín  # 唫

U+552C: hǔ,xià  # 唬

U+552F: wéi,wěi  # 唯

U+5541: zhāo,zhōu  # 啁

U+5548: hēng,hèng  # 啈

U+554A: ā,á,ǎ,à,a  # 啊

U+555C: chuài,chuò  # 啜

U+555E: yā,yǎ  # 啞

U+5562: liǎng,yīng  # 啢

U+5566: lā,la  # 啦

U+5574: chǎn,tān  # 啴

U+5587: lā,lá,lǎ  # 喇

U+558B: dié,zhá  # 喋

U+558F: nuò,rě  # 喏

U+5592: zá,zán,zan  # 喒

U+5594: ō,ò,wō  # 喔

U+559D: hē,hè  # 喝

U+55AA: sāng,sàng  # 喪

U+55AE: chán,dān,shàn  # 單

U+55B3: chā,zhā  # 喳

U+55B7: pēn,pèn  # 喷

U+55BD: lóu,lou  # 喽

U+55C4: á,shà  # 嗄

U+55C6: qiāng,qiàng  # 嗆

U+55CC: ài,yì  # 嗌

U+55D1: kē,kè  # 嗑

U+55D2: dā,tà  # 嗒

U+55DF: jiē,juē  # 嗟

U+55E8: hāi,hēi  # 嗨

U+55EF: ń,ň,ǹ,ńg,ňg,ǹg  # 嗯

U+55F3: āi,ǎi,ài  # 嗳

U+55FB: zhē,zhè  # 嗻

U+5600: dī,dí  # 嘀

U+560D: lóu,lou  # 嘍

U+560E: gā,gá,gǎ  # 嘎

U+560F: gǔ,jiǎ  # 嘏

U+5618: shī,xū  # 嘘

U+561A: dē,dēi  # 嘚

U+5629: huā,huá  # 嘩

U+562C: chuài,zuō  # 嘬

U+562E: láo,lào  # 嘮

U+5632: cháo,zhāo  # 嘲

U+563D: chǎn,tān  # 嘽

U+563F: hēi,mò  # 嘿

U+564C: cēng,chēng  # 噌

U+5666: huì,yuě  # 噦

U+566F: āi,ǎi,ài  # 噯

U+5671: jué,xué  # 噱

U+5684: huō,huò,ǒ  # 嚄

U+5687: hè,xià  # 嚇

U+5693: cā,chā  # 嚓

U+56A3: áo,xiāo  # 嚣

U+56B7: rāng,rǎng  # 嚷

U+56BC: jiáo,jiào,jué  # 嚼

U+56C9: luō,luó  # 囉

U+56CA: nāng,náng  # 囊

U+56DD: jiǎn,nān  # 囝

U+56E4: dùn,tún  # 囤

U+5708: juān,juàn,quān  # 圈

U+570C: chuán,chuí  # 圌

U+571C: huán,yuán  # 圜

U+5729: wéi,xū  # 圩

U+5730: de,dì  # 地

U+573A: cháng,chǎng  # 场

U+573B: qí,yín  # 圻

U+574A: fāng,fáng  # 坊

U+574B: bèn,fèn  # 坋

U+574F: huài,pī  # 坏

U+5777: jiōng,kē,kě  # 坷

U+577B: chí,dǐ  # 坻

U+578C: dòng,tóng  # 垌

U+579B: duǒ,duò  # 垛

U+579C: duǒ,duò  # 垜

U+57CB: mái,mán  # 埋

U+57D4: bù,pǔ  # 埔

U+57E4: pí,pì  # 埤

U+5806: duī,zuī  # 堆

U+5815: duò,huī  # 堕

U+5821: bǎo,bǔ,pù  # 堡

U+5834: cháng,chǎng  # 場

U+5854: da,tǎ  # 塔

U+585E: sāi,sài,sè  # 塞

U+5872: cháng,chǎng  # 塲

U+58D3: yā,yà  # 壓

U+58F3: ké,qiào  # 壳

U+5904: chǔ,chù  # 处

U+5927: dà,dài  # 大

U+592B: fū,fú  # 夫

U+592F: bèn,hāng  # 夯

U+5934: tóu,tou  # 头

U+5939: gā,jiā,jiá  # 夹

U+593E: gā,jiā,jiá  # 夾

U+5947: jī,qí  # 奇

U+5951: qì,xiè  # 契

U+5953: zhā,zhà  # 奓

U+5954: bēn,bèn  # 奔

U+5958: zàng,zhuǎng  # 奘

U+5964: hǎ,tǎi  # 奤

U+597D: hǎo,hào  # 好

U+59A8: fāng,fáng  # 妨

U+59BB: qī,qì  # 妻

U+59D4: wēi,wěi  # 委

U+59E5: lǎo,mǔ  # 姥

U+5A06: ráo,rǎo  # 娆

U+5A1C: nà,nuó  # 娜

U+5A29: miǎn,wǎn  # 娩

U+5A2D: āi,xī  # 娭

U+5A7C: chuò,ruò  # 婼

U+5A9B: yuán,yuàn  # 媛

U+5ADA: mān,màn  # 嫚

U+5B08: ráo,rǎo  # 嬈

U+5B5B: bèi,bó  # 孛

U+5B71: càn,chán  # 孱

U+5B81: níng,nìng  # 宁

U+5BB6: jiā,jia,jie  # 家

U+5BBF: sù,xiǔ,xiù  # 宿

U+5BC0: cǎi,cài  # 寀

U+5BE7: níng,nìng  # 寧

U+5BEB: xiě,xiè  # 寫

U+5BFB: xín,xún  # 寻

U+5C05: kè,kēi  # 尅

U+5C06: jiāng,jiàng,qiāng  # 将

U+5C07: jiāng,jiàng,qiāng  # 將

U+5C09: wèi,yù  # 尉

U+5C0B: xín,xún  # 尋

U+5C11: shǎo,shào  # 少

U+5C28: máng,méng  # 尨

U+5C3A: chě,chǐ  # 尺

U+5C3D: jǐn,jìn  # 尽

U+5C3E: wěi,yǐ  # 尾

U+5C3F: niào,suī  # 尿

U+5C4F: bǐng,píng  # 屏

U+5C5E: shǔ,zhǔ  # 属

U+5C6C: shǔ,zhǔ  # 屬

U+5C6F: tún,zhūn  # 屯

U+5C79: gē,yì  # 屹

U+5C97: gāng,gǎng  # 岗

U+5CD2: dòng,tóng  # 峒

U+5CD9: shì,zhì  # 峙

U+5CE4: jiào,qiáo  # 峤

U+5D34: wǎi,wēi  # 崴

U+5D4C: kàn,qiàn  # 嵌

U+5DA0: jiào,qiáo  # 嶠

U+5DEE: chā,chà,chāi,chài,cī  # 差

U+5DF2: sì,yǐ  # 已

U+5DF7: hàng,xiàng  # 巷

U+5E02: fú,shì  # 市

U+5E16: tiē,tiě,tiè  # 帖

U+5E23: juǎn,juàn  # 帣

U+5E31: chóu,dào  # 帱

U+5E62: chuáng,zhuàng  # 幢

U+5E6C: chóu,dào  # 幬

U+5E72: gān,gàn  # 干

U+5E76: bīng,bìng  # 并

U+5E7E: jī,jǐ  # 幾

U+5E7F: ān,guǎng  # 广

U+5E94: yīng,yìng  # 应

U+5E95: de,dǐ  # 底

U+5EA6: dù,duó  # 度

U+5EC1: cè,si  # 廁

U+5EC6: guī,wěi  # 廆

U+5EC8: shà,xià  # 廈

U+5ED1: jǐn,qín  # 廑

U+5EF9: pǎi,pò  # 廹

U+5F04: lòng,nòng  # 弄

U+5F37: jiàng,qiáng,qiǎng  # 強

U+5F39: dàn,tán  # 弹

U+5F3A: jiàng,qiáng,qiǎng  # 强

U+5F48: dàn,tán  # 彈

U+5F4A: jiàng,qiáng,qiǎng  # 彊

U+5F53: dāng,dàng  # 当

U+5F77: fǎng,páng  # 彷

U+5F80: wǎng,wàng  # 往

U+5F85: dāi,dài  # 待

U+5F8A: huái,huí  # 徊

U+5F95: lái,lài  # 徕

U+5F97: dé,de,děi  # 得

U+5F9E: cōng,cóng  # 從

U+5FA0: lái,lài  # 徠

U+5FB5: zhēng,zhǐ  # 徵

U+5FBC: jiǎo,jiào  # 徼

U+5FD2: tè,tēi,tuī  # 忒

U+5FD8: wáng,wàng  # 忘

U+5FEA: sōng,zhōng  # 忪

U+6014: zhēng,zhèng  # 怔

U+6019: hù,tiē  # 怙

U+601D: sāi,sī  # 思

U+6041: nèn,nín  # 恁

U+606B: dòng,tōng  # 恫

U+6076: ě,è,wū,wù  # 恶

U+6084: qiāo,qiǎo  # 悄

U+609D: kuī,lǐ  # 悝

U+60DD: chǎng,tǎng  # 惝

U+60E1: ě,è,wū,wù  # 惡

U+614A: qiàn,qiè  # 慊

U+61C9: yīng,yìng  # 應

U+6206: gàng,zhuàng  # 戆

U+620C: qu,xū  # 戌

U+620F: hū,xì  # 戏

U+6217: qiāng,qiàng  # 戗

U+6227: qiāng,qiàng  # 戧

U+622F: hū,xì  # 戯

U+6232: hū,xì  # 戲

U+6241: biǎn,piān  # 扁

U+6247: shān,shàn  # 扇

U+624E: zā,zhā,zhá  # 扎

U+6252: bā,pá  # 扒

U+6253: dá,dǎ  # 打

U+625B: gāng,káng  # 扛

U+625E: gǎn,hàn  # 扞

U+626B: sǎo,sào  # 扫

U+6273: bān,pān  # 扳

U+628A: bǎ,bà  # 把

U+6298: shé,zhē,zhé  # 折

U+629D: ǎo,ào,niù  # 抝

U+62A1: lūn,lún  # 抡

U+62A2: qiāng,qiǎng  # 抢

U+62B9: mā,mǒ,mò  # 抹

U+62C5: dān,dǎn,dàn  # 担

U+62C6: cā,chāi  # 拆

U+62C9: lā,lá,lǎ,là  # 拉

U+62D3: tà,tuò  # 拓

U+62D7: ǎo,ào,niù  # 拗

U+62DA: pàn,pīn  # 拚

U+62E7: níng,nǐng,nìng  # 拧

U+62E9: zé,zhái  # 择

U+62EC: guā,kuò  # 括

U+62F6: zā,zǎn  # 拶

U+62FD: yè,zhuāi,zhuài  # 拽

U+6307: zhī,zhí,zhǐ  # 指

U+6311: tiāo,tiǎo  # 挑

U+631D: wō,zhuā  # 挝

U+631F: jiā,xié  # 挟

U+6321: dǎng,dàng  # 挡

U+6323: zhēng,zhèng  # 挣

U+6328: āi,ái  # 挨

U+6331: sā,shā,suō  # 挱

U+6332: sā,shā,suō  # 挲

U+633C: ruá,ruó  # 挼

U+6342: wú,wǔ  # 捂

U+634B: lǚ,luō  # 捋

U+634E: shāo,shào  # 捎

U+636E: jū,jù  # 据

U+6383: sǎo,sào  # 掃

U+6384: lūn,lún  # 掄

U+638A: póu,pǒu  # 掊

U+638F: tāo,táo  # 掏

U+6392: pái,pǎi  # 排

U+6396: yē,yè  # 掖

U+63A0: lüě,lüè  # 掠

U+63B4: guāi,guó  # 掴

U+63B7: zhī,zhì  # 掷

U+63B8: dǎn,shàn  # 掸

U+63BA: càn,chān,shǎn  # 掺

U+63D0: dī,tí  # 提

U+63E3: chuāi,chuǎi,chuài  # 揣

U+63F2: dié,shé  # 揲

U+6401: gē,gé  # 搁

U+6402: lōu,lǒu  # 搂

U+6412: bàng,péng  # 搒

U+6436: qiāng,qiǎng  # 搶

U+644B: sà,shā  # 摋

U+6451: guāi,guó  # 摑

U+6452: bǐng,bìng  # 摒

U+645F: lōu,lǒu  # 摟

U+6469: mā,mó  # 摩

U+6478: mō,mó  # 摸

U+647B: càn,chān,shǎn  # 摻

U+647D: biāo,biào  # 摽

U+6487: piē,piě  # 撇

U+6492: sā,sǎ  # 撒

U+64A3: dǎn,shàn  # 撣

U+64A9: liāo,liáo,liào  # 撩

U+64AE: cuō,zuǒ  # 撮

U+64BE: wō,zhuā  # 撾

U+64C2: lēi,léi,lèi  # 擂

U+64C7: zé,zhái  # 擇

U+64CB: dǎng,dàng  # 擋

U+64D4: dān,dàn  # 擔

U+64D8: bāi,bò  # 擘

U+64DE: sǒu,sòu  # 擞

U+64F0: níng,nǐng,nìng  # 擰

U+64F2: zhī,zhì  # 擲

U+64FB: sǒu,sòu  # 擻

U+64FF: tī,zhì  # 擿

U+6512: cuán,zǎn  # 攒

U+6559: jiāo,jiào  # 教

U+6563: sǎn,sàn  # 散

U+6566: duì,dūn  # 敦

U+6569: xiào,xué  # 敩

U+6570: shǔ,shù,shuò  # 数

U+6578: shǔ,shù,shuò  # 數

U+6585: xiào,xué  # 斅

U+6597: dǒu,dòu  # 斗

U+65AE: cuò,zhuó  # 斮

U+65BC: wū,yū,yú  # 於

U+65CB: xuán,xuàn  # 旋

U+65E0: mó,wú  # 无

U+6633: dié,yì  # 昳

U+6643: huǎng,huàng  # 晃

U+6655: yūn,yùn  # 晕

U+665F: chéng,shèng  # 晟

U+667A: zhī,zhì  # 智

U+667B: àn,yǎn  # 晻

U+66A0: gǎo,hào  # 暠

U+66A7: ài,nuǎn  # 暧

U+66B4: bào,pù  # 暴

U+66F2: qū,qǔ  # 曲

U+66F4: gēng,gèng  # 更

U+66FE: céng,zēng  # 曾

U+6703: huì,kuài  # 會

U+6709: yǒu,yòu  # 有

U+670D: fú,fù  # 服

U+671D: cháo,zhāo  # 朝

U+671F: jī,qī  # 期

U+672B: me,mò  # 末

U+672F: shù,zhú  # 术

U+6734: piáo,pō,pò,pǔ  # 朴

U+6746: gān,gǎn  # 杆

U+6748: chā,chà  # 杈

U+6749: shā,shān  # 杉

U+6753: biāo,sháo  # 杓

U+6755: dì,duò  # 杕

U+6760: gāng,gàng  # 杠

U+677B: chǒu,niǔ  # 杻

U+679E: cōng,zōng  # 枞

U+67B8: gōu,gǒu,jǔ  # 枸

U+67B9: bāo,fú  # 枹

U+67C1: duò,tuó  # 柁

U+67CF: bǎi,bó,bò  # 柏

U+67DA: yóu,yòu  # 柚

U+67DC: guì,jǔ  # 柜

U+67DE: zhà,zuò  # 柞

U+67E5: chá,zhā  # 查

U+67F5: shān,zhà  # 柵

U+6805: shān,zhà  # 栅

U+680E: lì,yuè  # 栎

U+6816: qī,xī  # 栖

U+681D: guā,kuò  # 栝

U+681F: bēn,bīng  # 栟

U+6821: jiào,xiào  # 校

U+6838: hé,hú  # 核

U+683C: gē,gé  # 格

U+6844: guāng,guàng  # 桄

U+6846: kuāng,kuàng  # 框

U+6854: jié,jú  # 桔

U+6867: guì,huì  # 桧

U+6883: tǐng,tìng  # 梃

U+68A2: sào,shāo  # 梢

U+68B9: bīn,bīng  # 梹

U+68D3: bàng,bèi  # 棓

U+68F1: lēng,léng,líng  # 棱

U+6905: yī,yǐ  # 椅

U+6909: chéng,shèng  # 椉

U+690E: chuí,zhuī  # 椎

U+6911: bēi,pí  # 椑

U+6939: shèn,zhēn  # 椹

U+6942: chá,zhā  # 楂

U+695B: hù,kǔ  # 楛

U+696F: dùn,shǔn  # 楯

U+6977: jiē,kǎi  # 楷

U+699C: bǎng,bàng,péng  # 榜

U+69DB: jiàn,kǎn  # 槛

U+69DF: bīn,bīng  # 槟

U+6A02: lè,yuè  # 樂

U+6A05: cōng,zōng  # 樅

U+6A21: mó,mú  # 模

U+6A2A: héng,hèng  # 横

U+6A59: chén,chéng  # 橙

U+6A9C: guì,huì  # 檜

U+6AB3: bīn,bīng  # 檳

U+6ABB: jiàn,kǎn  # 檻

U+6ADF: lì,yuè  # 櫟

U+6B38: āi,ǎi,ēi,éi,ěi,èi  # 欸

U+6B3B: chuā,xū  # 欻

U+6B58: chuā,xū  # 歘

U+6B59: shè,xī  # 歙

U+6B63: zhēng,zhèng  # 正

U+6B96: shi,zhí  # 殖

U+6BB7: yān,yīn,yǐn  # 殷

U+6BC2: gū,gǔ  # 毂

U+6C0F: shì,zhī  # 氏

U+6C10: dī,dǐ  # 氐

U+6C13: máng,méng  # 氓

U+6C3E: fán,fàn  # 氾

U+6C3F: guǐ,jiǔ  # 氿

U+6C57: hán,hàn  # 汗

U+6C64: shāng,tāng  # 汤

U+6C88: chén,shěn  # 沈

U+6C8C: dùn,zhuàn  # 沌

U+6C93: dá,tà  # 沓

U+6C99: shā,shà  # 沙

U+6CA1: méi,mò  # 没

U+6CA4: ōu,òu  # 沤

U+6CAE: jǔ,jù  # 沮

