text,target,pred
亲王,"['qīn', 'wáng']","['NA', 'wáng']"
丧亲,"['sàng', 'qīn']","['sāng', 'qīn']"
八疸,"['bā', 'dǎn']","['bā', 'NA']"
无稽,"['wú', 'jī']","['wú', 'NA']"
无着,"['wú', 'zhuó']","['wú', 'NA']"
无烟,"['wú', 'yān']","['wú', 'NA']"
无核,"['wú', 'hé']","['wú', 'NA']"
无已,"['wú', 'yǐ']","['wú', 'NA']"
无为,"['wú', 'wéi']","['wú', 'NA']"
非得,"['NA', 'děi']","['NA', 'dé']"
了得,"['liǎo', 'de']","['liǎo', 'dé']"
记得,"['NA', 'de']","['NA', 'dé']"
认得,"['NA', 'de']","['NA', 'dé']"
挣得,"['zhèng', 'dé']","['zhēng', 'dé']"
得色,"['dé', 'sè']","['NA', 'sè']"
得着,"['dé', 'zháo']","['dé', 'zhe']"
得当,"['dé', 'dàng']","['dé', 'dāng']"
得了,"['dé', 'le']","['dé', 'liǎo']"
得中,"['dé', 'zhòng']","['dé', 'zhōng']"
卒中,"['cù', 'zhòng']","['zú', 'zhōng']"
刺中,"['cì', 'zhòng']","['cì', 'zhōng']"
切中,"['qiè', 'zhòng']","['qiè', 'zhōng']"
中邪,"['zhòng', 'xié']","['zhōng', 'xié']"
中的,"['zhòng', 'dì']","['zhōng', 'dī']"
中弹,"['zhòng', 'dàn']","['zhōng', 'dàn']"
华中,"['huá', 'zhōng']","['huà', 'zhōng']"
中行,"['zhōng', 'háng']","['zhōng', 'xíng']"
中缝,"['zhōng', 'fèng']","['zhōng', 'féng']"
中牟,"['zhōng', 'mù']","['zhōng', 'NA']"
中埔,"['zhōng', 'bù']","['zhōng', 'NA']"
中和,"['zhōng', 'hé']","['zhōng', 'huo']"
中华,"['zhōng', 'huá']","['zhōng', 'huà']"
中区,"['zhōng', 'qū']","['NA', 'qū']"
单个,"['dān', 'ge']","['dān', 'gè']"
几个,"['jǐ', 'ge']","['jǐ', 'gè']"
上个,"['shàng', 'ge']","['shàng', 'gè']"
个把,"['gè', 'bǎ']","['gè', 'NA']"
该应,"['NA', 'yīng']","['NA', 'yìng']"
理应,"['NA', 'yīng']","['NA', 'yìng']"
本应,"['NA', 'yīng']","['NA', 'yìng']"
万分,"['wàn', 'fēn']","['wàn', 'fèn']"
高分,"['NA', 'fēn']","['NA', 'fèn']"
负分,"['NA', 'fēn']","['NA', 'fèn']"
评分,"['NA', 'fēn']","['NA', 'fèn']"
计分,"['NA', 'fēn']","['NA', 'fèn']"
考分,"['NA', 'fēn']","['NA', 'fèn']"
美分,"['NA', 'fēn']","['NA', 'fèn']"
细分,"['NA', 'fēn']","['NA', 'fèn']"
等分,"['NA', 'fēn']","['NA', 'fèn']"
积分,"['NA', 'fēn']","['NA', 'fèn']"
秋分,"['NA', 'fēn']","['NA', 'fèn']"
百分,"['NA', 'fēn']","['NA', 'fèn']"
切莫,"['qiè', 'mò']","['qiè', 'NA']"
切脉,"['qiè', 'mài']","['qiè', 'NA']"
切片,"['qiē', 'piàn']","['qiè', 'piàn']"
切削,"['qiē', 'xiāo']","['qiè', 'NA']"
裁切,"['NA', 'qiē']","['NA', 'qiè']"
堆砌,"['duī', 'qì']","['duī', 'NA']"
数论,"['shù', 'lùn']","['NA', 'lùn']"
体魄,"['tǐ', 'pò']","['tǐ', 'NA']"
体侧,"['tǐ', 'cè']","['tǐ', 'NA']"
正传,"['zhèng', 'zhuàn']","['zhèng', 'chuán']"
别传,"['bié', 'zhuàn']","['bié', 'chuán']"
财会,"['NA', 'kuài']","['NA', 'huì']"
散会,"['sàn', 'huì']","['sǎn', 'huì']"
教会,"['jiāo', 'huì']","['jiào', 'huì']"
兴会,"['xìng', 'huì']","['NA', 'huì']"
会长,"['huì', 'zhǎng']","['huì', 'cháng']"
与会,"['yù', 'huì']","['NA', 'huì']"
打哄,"['dǎ', 'hǒng']","['dǎ', 'NA']"
殷红,"['yān', 'hóng']","['yīn', 'hóng']"
大红,"['dà', 'hóng']","['dà', 'NA']"
大号,"['dà', 'hào']","['dà', 'NA']"
乐句,"['yuè', 'jù']","['lè', 'jù']"
锁匙,"['NA', 'chí']","['NA', 'shi']"
