text,target,pred
大通,"['dà', 'tōng']","['dà', 'NA']"
大过,"['dà', 'guò']","['dà', 'NA']"
大辟,"['dà', 'pì']","['dà', 'NA']"
大调,"['dà', 'diào']","['dà', 'NA']"
大解,"['dà', 'jiě']","['dà', 'NA']"
大观,"['dà', 'guān']","['dà', 'NA']"
大要,"['dà', 'yào']","['dà', 'NA']"
大衣,"['dà', 'yī']","['dà', 'NA']"
大脚,"['dà', 'jiǎo']","['dà', 'NA']"
大胜,"['dà', 'shèng']","['dà', 'NA']"
大约,"['dà', 'yuē']","['dà', 'NA']"
大系,"['dà', 'xì']","['dà', 'NA']"
大王,"['dà', 'wáng']","['dà', 'NA']"
大片,"['dà', 'piàn']","['dà', 'NA']"
大烟,"['dà', 'yān']","['dà', 'NA']"
大炮,"['dà', 'pào']","['dà', 'NA']"
大汗,"['dà', 'hán']","['dà', 'NA']"
大正,"['dà', 'zhèng']","['dà', 'NA']"
大校,"['dà', 'xiào']","['dà', 'NA']"
大有,"['dà', 'yǒu']","['dà', 'NA']"
大数,"['dà', 'shù']","['dà', 'NA']"
大指,"['dà', 'zhǐ']","['dà', 'NA']"
大度,"['dà', 'dù']","['dà', 'NA']"
大兴,"['dà', 'xīng']","['dà', 'NA']"
大尉,"['dà', 'wèi']","['dà', 'NA']"
大将,"['dà', 'jiàng']","['dà', 'NA']"
大宁,"['dà', 'níng']","['dà', 'NA']"
大夫,"['dà', 'fū']","['dà', 'NA']"
大埤,"['dà', 'pí']","['dà', 'NA']"
大地,"['dà', 'dì']","['dà', 'NA']"
大只,"['dà', 'zhī']","['dà', 'NA']"
大厦,"['dà', 'shà']","['dà', 'NA']"
大厂,"['dà', 'chǎng']","['dà', 'NA']"
大卡,"['dà', 'kǎ']","['dà', 'NA']"
大作,"['dà', 'zuò']","['dà', 'NA']"
大伯,"['dà', 'bó']","['dà', 'NA']"
台大,"['tái', 'dà']","['NA', 'dà']"
南大,"['nán', 'dà']","['NA', 'dà']"
露馅,"['lòu', 'NA']","['lù', 'NA']"
朝露,"['zhāo', 'lù']","['NA', 'lù']"
已经,"['yǐ', 'jīng']","['NA', 'jīng']"
吭气,"['kēng', 'NA']","['NA', 'NA']"
面糊,"['NA', 'hú']","['NA', 'guì']"
暖和,"['NA', 'huo']","['NA', 'hé']"
混和,"['hùn', 'huò']","['NA', 'hé']"
和约,"['hé', 'yuē']","['NA', 'yuē']"
和服,"['hé', 'fú']","['hé', 'NA']"
和乐,"['hé', 'lè']","['hé', 'NA']"
南和,"['nán', 'hé']","['nán', 'NA']"
酬和,"['NA', 'hè']","['NA', 'hé']"
当上,"['dāng', 'shang']","['dàng', 'shàng']"
地上,"['dì', 'shang']","['dì', 'NA']"
闭上,"['NA', 'shang']","['NA', 'shàng']"
身上,"['NA', 'shang']","['NA', 'shàng']"
上校,"['shàng', 'xiào']","['shàng', 'NA']"
上思,"['shàng', 'sī']","['shàng', 'NA']"
上当,"['shàng', 'dàng']","['shàng', 'dāng']"
上岗,"['shàng', 'gǎng']","['shàng', 'shèng']"
上尉,"['shàng', 'wèi']","['shàng', 'NA']"
上将,"['shàng', 'jiàng']","['shàng', 'NA']"
上家,"['shàng', 'jiā']","['NA', 'jiā']"
上好,"['shàng', 'hǎo']","['shàng', 'NA']"
上头,"['shàng', 'tou']","['NA', 'tou']"
上合,"['shàng', 'hé']","['shàng', 'NA']"
上台,"['shàng', 'tái']","['shàng', 'NA']"
上任,"['shàng', 'rèn']","['shàng', 'NA']"
上乘,"['shàng', 'chéng']","['shàng', 'NA']"
上万,"['shàng', 'wàn']","['shàng', 'NA']"
打哄,"['dǎ', 'hǒng']","['dǎ', 'NA']"
瞒哄,"['NA', 'hǒng']","['NA', 'lè']"
红堡,"['hóng', 'bǎo']","['hóng', 'NA']"
殷红,"['yān', 'hóng']","['NA', 'hóng']"
当红,"['dāng', 'hóng']","['dāng', 'NA']"
大红,"['dà', 'hóng']","['dà', 'NA']"
同济,"['tóng', 'jì']","['tóng', 'NA']"
同期,"['tóng', 'qī']","['tóng', 'NA']"
同化,"['tóng', 'huà']","['tóng', 'NA']"
头号,"['tóu', 'hào']","['tóu', 'NA']"
大号,"['dà', 'hào']","['dà', 'NA']"
号角,"['hào', 'jiǎo']","['hào', 'NA']"
号称,"['hào', 'chēng']","['hào', 'NA']"
号炮,"['hào', 'pào']","['hào', 'NA']"
号头,"['hào', 'tóu']","['NA', 'tou']"
号召,"['hào', 'zhào']","['hào', 'NA']"
号令,"['hào', 'lìng']","['hào', 'NA']"
单号,"['dān', 'hào']","['NA', 'hào']"
区号,"['qū', 'hào']","['yǔ', 'hào']"
